district|latitude|longitude
3|38.55042047|-121.3914158
5|38.47350069|-121.4901858
2|38.65784584|-121.4621009
6|38.50677377|-121.4269508
2|38.6374478|-121.3846125
6|38.52697863|-121.4513383
4|38.537173|-121.4875774
3|38.56433456|-121.4618826
2|38.6374478|-121.3846125
1|38.60960217|-121.4918375
6|38.55426406|-121.4546045
6|38.52816497|-121.4314528
4|38.51092155|-121.5488201
3|38.55611545|-121.4142729
6|38.50398051|-121.3923987
6|38.54152896|-121.4495097
6|38.51657327|-121.4234749
3|38.58184562|-121.5011657
6|38.54270763|-121.4572067
4|38.52459987|-121.5203609
5|38.44659211|-121.4423777
2|38.59664183|-121.423349
4|38.51512387|-121.5291027
2|38.65660112|-121.4560449
5|38.44281523|-121.4095243
6|38.5438039|-121.4332827
5|38.47121906|-121.4547389
4|38.5564521|-121.5123309
5|38.49535335|-121.4965602
2|38.64717373|-121.4375169
4|38.47889498|-121.5354477
2|38.63734742|-121.444642
3|38.57289613|-121.4767958
6|38.51436734|-121.3854286
4|38.47948616|-121.5215057
1|38.65994218|-121.5259008
1|38.60893745|-121.5187927
3|38.57084621|-121.484429
3|38.57815667|-121.4876958
1|38.64378844|-121.5341593
1|38.62798948|-121.4857344
1|38.61153542|-121.5370613
3|38.57999251|-121.4930384
3|38.59540732|-121.4978798
6|38.51526387|-121.4296507
2|38.65737252|-121.4577585
6|38.52799185|-121.434789
3|38.56796664|-121.4852542
4|38.50009398|-121.4776262
6|38.54138742|-121.4282497
4|38.49609085|-121.4740915
4|38.52973955|-121.5195294
5|38.46637324|-121.4265274
4|38.51538948|-121.5255605
3|38.57905906|-121.4661967
1|38.63036289|-121.4755269
6|38.50632179|-121.4333041
5|38.47400047|-121.4581933
3|38.57724403|-121.5051437
3|38.57419952|-121.470553
3|38.57881567|-121.4970836
3|38.55456463|-121.4106138
6|38.52199211|-121.4309007
1|38.62453557|-121.5264198
1|38.62504428|-121.4978986
3|38.56984785|-121.4737052
5|38.46518116|-121.4461653
5|38.4497213|-121.4258719
5|38.47143667|-121.427615
2|38.61972226|-121.4152799
5|38.49570962|-121.477826
2|38.62070956|-121.4226958
1|38.61488957|-121.4934272
3|38.58239328|-121.5059336
6|38.53116122|-121.4661214
2|38.60641085|-121.4473501
3|38.57682477|-121.4882896
1|38.63207451|-121.5287747
2|38.60108154|-121.456171
5|38.47489873|-121.4996944
1|38.67510292|-121.5226753
5|38.46594742|-121.4513773
6|38.51055016|-121.409083
3|38.570664|-121.465448
2|38.6432324|-121.4563115
1|38.67318557|-121.5035491
1|38.66695301|-121.5088707
5|38.45025842|-121.443044
6|38.52337984|-121.4378491
4|38.56159185|-121.4923822
3|38.56438552|-121.4516767
5|38.49603233|-121.4619674
6|38.52967087|-121.4469794
5|38.47425283|-121.4368769
3|38.57941421|-121.4864344
5|38.47425283|-121.4368769
4|38.49714012|-121.5136898
3|38.57201606|-121.4692575
2|38.61859754|-121.4382569
3|38.57348427|-121.4678719
2|38.61197962|-121.4578062
1|38.62099831|-121.5104473
6|38.51755951|-121.4142712
2|38.63465784|-121.4392401
2|38.65509277|-121.4477394
4|38.5076709|-121.5412748
2|38.65966202|-121.4535351
2|38.61499077|-121.4534714
1|38.65699142|-121.5038615
2|38.63500106|-121.4213652
5|38.49601155|-121.4592772
6|38.54182394|-121.4709505
2|38.63963285|-121.4130509
1|38.63351404|-121.5282646
2|38.61199425|-121.4244182
3|38.57546355|-121.4761823
4|38.50771305|-121.5534498
4|38.51617367|-121.5286379
2|38.60088271|-121.4352821
1|38.63244741|-121.4903723
1|38.62275946|-121.513946
4|38.51110856|-121.5343434
2|38.61286644|-121.4444547
1|38.61301252|-121.4993798
1|38.60758365|-121.5411045
2|38.65509277|-121.4477394
4|38.5206653|-121.515833
1|38.62749128|-121.528707
3|38.55456463|-121.4106138
1|38.66227019|-121.5291389
3|38.5695415|-121.409084
1|38.65731154|-121.5119979
6|38.54072015|-121.4620361
4|38.53437911|-121.5068742
2|38.62194039|-121.431713
5|38.46337225|-121.4161718
3|38.54929974|-121.3882189
5|38.46449565|-121.456788
3|38.58259727|-121.500996
6|38.54100057|-121.4458147
6|38.53725889|-121.4477561
4|38.52545723|-121.5139339
2|38.61361383|-121.454378
3|38.58062786|-121.5014996
5|38.48682651|-121.5001978
3|38.58137649|-121.4974538
5|38.48023792|-121.4360926
3|38.58472227|-121.4858505
2|38.60666541|-121.422421
2|38.63862878|-121.3815598
5|38.48420982|-121.448306
3|38.56047289|-121.3902704
2|38.65394829|-121.462463
2|38.62221222|-121.4447319
2|38.62524321|-121.4304825
5|38.46027205|-121.4304773
2|38.61199425|-121.4244182
2|38.60154457|-121.42747
2|38.61317258|-121.4424469
4|38.52199137|-121.4990149
2|38.63070055|-121.440864
2|38.6374478|-121.3846125
3|38.56839814|-121.4313525
5|38.48020103|-121.5015786
1|38.63910642|-121.528
3|38.57543889|-121.5029735
5|38.49203951|-121.4613302
1|38.6776884|-121.5345401
6|38.54199544|-121.4712254
4|38.5127908|-121.5313723
3|38.56796664|-121.4852542
4|38.50488174|-121.4804148
4|38.52199137|-121.4990149
2|38.64823548|-121.4261249
1|38.63589608|-121.5055312
2|38.63869884|-121.4424398
1|38.66157492|-121.4969793
5|38.47415723|-121.4296995
3|38.54818818|-121.3940644
3|38.5530906|-121.3751255
2|38.64770425|-121.4242104
3|38.56737967|-121.4786515
1|38.60972461|-121.4953467
5|38.45718227|-121.4133413
3|38.5777553|-121.4838823
5|38.45964489|-121.4291448
6|38.50926564|-121.4129728
2|38.63535055|-121.4281542
1|38.62642643|-121.487454
3|38.58432423|-121.4902264
3|38.57001564|-121.4872296
6|38.52496323|-121.4438874
6|38.52517945|-121.4443121
2|38.62009985|-121.4590851
2|38.6176064|-121.4204494
6|38.54069286|-121.4728119
4|38.56108765|-121.4913716
2|38.62764502|-121.4258496
6|38.52517945|-121.4443121
1|38.65543537|-121.5223763
5|38.49250972|-121.4579445
3|38.60057486|-121.4940223
2|38.61712192|-121.4587997
2|38.61712192|-121.4587997
5|38.44227407|-121.4127165
2|38.63425266|-121.4177759
4|38.55701398|-121.4762723
3|38.58376222|-121.4848464
6|38.54242302|-121.4674602
3|38.59572389|-121.5050785
2|38.609884|-121.46479
1|38.62798992|-121.5092581
2|38.60240036|-121.4295032
3|38.57117547|-121.4924504
6|38.50482198|-121.4112131
1|38.61328867|-121.494681
2|38.61112465|-121.4593596
1|38.62581805|-121.4971301
1|38.61102318|-121.5119472
2|38.62266231|-121.4260893
3|38.56788759|-121.4792459
1|38.63659439|-121.4763493
6|38.52654807|-121.4434066
5|38.49601155|-121.4592772
2|38.60311006|-121.4269745
1|38.61589867|-121.4924786
2|38.60880668|-121.4528434
6|38.53137433|-121.4506403
6|38.5313798|-121.4523742
3|38.56165546|-121.3880115
1|38.64316291|-121.4745819
6|38.52225475|-121.4114993
2|38.64390931|-121.4507882
6|38.51585237|-121.3675001
6|38.54020494|-121.4505653
5|38.47226256|-121.4336162
2|38.66757714|-121.4538176
3|38.5842425|-121.5036468
3|38.57562427|-121.4758978
1|38.67667622|-121.5088422
2|38.60667473|-121.4226379
3|38.57016732|-121.5069731
2|38.61472939|-121.4300065
1|38.61935446|-121.4755343
2|38.61292672|-121.4415704
5|38.46292264|-121.4284026
5|38.46377975|-121.4312631
6|38.5550754|-121.4684533
3|38.58245172|-121.4877874
3|38.55645223|-121.4289124
6|38.54470924|-121.4490342
5|38.4625133|-121.4603514
1|38.67660642|-121.5190467
4|38.50751789|-121.5477443
3|38.56502139|-121.4763254
6|38.54783739|-121.4243203
3|38.55137298|-121.4061503
1|38.60824476|-121.5192803
6|38.54468278|-121.4591392
6|38.54118802|-121.459316
2|38.62769343|-121.4634451
5|38.47687825|-121.5002604
5|38.48227523|-121.4584554
2|38.66254563|-121.451289
4|38.51484622|-121.5249979
1|38.62743901|-121.5056249
5|38.47663386|-121.4803303
5|38.44973707|-121.4180465
1|38.61880719|-121.4796125
5|38.44803746|-121.4078016
4|38.51042757|-121.5419071
4|38.48243228|-121.514852
6|38.55155803|-121.4684935
3|38.58612197|-121.48322
2|38.60879322|-121.4306804
3|38.59444259|-121.4814732
4|38.48369463|-121.515322
6|38.5454679|-121.4573325
2|38.64036498|-121.4321298
3|38.57201606|-121.4692575
4|38.55531685|-121.4792852
2|38.6358152|-121.4446434
2|38.59156169|-121.4200242
6|38.53444222|-121.4079133
3|38.57920289|-121.493943
6|38.54867149|-121.4230827
2|38.63482334|-121.4416684
2|38.62073056|-121.4618489
1|38.60930026|-121.4770641
1|38.62630755|-121.4756162
2|38.62073678|-121.4572951
2|38.61538617|-121.4234494
6|38.51364018|-121.4211919
2|38.62866431|-121.4631893
5|38.46252937|-121.4585038
2|38.62968232|-121.446116
3|38.58514056|-121.4854381
3|38.57630105|-121.4319262
2|38.60527526|-121.4516527
3|38.57848338|-121.4742082
6|38.54102578|-121.4657714
4|38.51348202|-121.532542
3|38.56382548|-121.491401
2|38.60739495|-121.4205954
3|38.57962095|-121.5068273
1|38.6089261|-121.4935886
2|38.62275189|-121.4642874
1|38.65941872|-121.5096441
3|38.59530776|-121.4839757
5|38.47433302|-121.4398174
5|38.43840598|-121.4183343
6|38.54454369|-121.4558291
2|38.59645425|-121.4382598
6|38.54061027|-121.4474575
6|38.51007761|-121.4095726
2|38.60027317|-121.4252477
2|38.59808509|-121.4275537
3|38.59530776|-121.4839757
3|38.55614777|-121.4267606
2|38.63228581|-121.4303283
5|38.44973707|-121.4180465
2|38.59664183|-121.423349
2|38.63931448|-121.4295789
6|38.52823386|-121.4456482
5|38.47602372|-121.5014051
5|38.45541339|-121.4420784
3|38.58057689|-121.5036968
3|38.57218405|-121.4907608
5|38.49543922|-121.4799768
3|38.57163324|-121.4854271
4|38.52736754|-121.504668
4|38.52062063|-121.5084967
2|38.62635393|-121.4392039
3|38.57320247|-121.4747123
3|38.57411723|-121.4827193
1|38.61421301|-121.4925571
2|38.63939388|-121.4604896
3|38.57725503|-121.4806992
2|38.61692679|-121.4593506
3|38.57218529|-121.4642683
3|38.58245363|-121.5052755
4|38.53284086|-121.4959218
6|38.53553572|-121.4468745
4|38.56159185|-121.4923822
3|38.57240323|-121.4856804
1|38.61124309|-121.4755625
4|38.54106323|-121.47576
2|38.60986284|-121.4590542
6|38.542611|-121.4443687
3|38.58052209|-121.4986248
5|38.47764806|-121.4891676
1|38.65735092|-121.5102676
2|38.63862878|-121.3815598
2|38.62198839|-121.4461582
2|38.63862878|-121.3815598
2|38.62219451|-121.438211
3|38.54940296|-121.4091389
1|38.63040165|-121.4780296
6|38.51332326|-121.4314836
1|38.62875561|-121.5085108
3|38.58184562|-121.5011657
4|38.51030591|-121.4787921
2|38.62982199|-121.4414625
3|38.57997771|-121.4978345
2|38.65899218|-121.4600156
1|38.65023973|-121.5085026
6|38.53114891|-121.4223993
4|38.51852|-121.475971
5|38.45790447|-121.437086
1|38.67549475|-121.4977777
5|38.47322263|-121.4250682
6|38.52507079|-121.4199387
2|38.63253761|-121.4257122
2|38.64688728|-121.4140661
4|38.49297696|-121.5071286
5|38.47920034|-121.4638793
3|38.57881567|-121.4970836
1|38.61402379|-121.4926144
4|38.49852712|-121.4742273
3|38.58053662|-121.4906312
2|38.61499899|-121.423449
3|38.5704109|-121.4841033
3|38.57704873|-121.4812324
5|38.48308908|-121.4790012
1|38.61733037|-121.510595
1|38.62753184|-121.4755302
1|38.65357208|-121.5095127
1|38.6208506|-121.4700175
3|38.56363425|-121.4885101
2|38.62053806|-121.4489382
2|38.60765045|-121.4504831
3|38.57900945|-121.489911
1|38.6296517|-121.4755286
5|38.4735803|-121.4443013
2|38.61110308|-121.4618026
2|38.66166376|-121.4558592
1|38.64420903|-121.5129034
6|38.54944953|-121.4614493
6|38.50098733|-121.41042
2|38.62255411|-121.4560212
3|38.57308322|-121.5075511
3|38.57308322|-121.5075511
3|38.57308322|-121.5075511
4|38.52186986|-121.5116968
1|38.61775373|-121.4947194
2|38.65467106|-121.4625907
5|38.49502703|-121.5030125
2|38.61867245|-121.4481266
5|38.46101961|-121.414127
4|38.48531018|-121.5356226
2|38.64336682|-121.4216859
3|38.59667389|-121.5056982
6|38.55513128|-121.4728661
6|38.52512948|-121.4487903
3|38.57372161|-121.4826732
4|38.50290045|-121.4819248
1|38.66172026|-121.527605
3|38.58048952|-121.4715453
3|38.60055347|-121.4985749
3|38.55463027|-121.4116414
3|38.5722972|-121.4773354
2|38.65300918|-121.4618713
4|38.52845688|-121.5128857
5|38.48972495|-121.5024485
3|38.57905171|-121.4976906
4|38.51382164|-121.5269234
2|38.63684482|-121.4423353
1|38.68251335|-121.5015993
2|38.61586018|-121.4445924
4|38.53402736|-121.4978746
4|38.53402736|-121.4978746
